Ref,Val,Package,PosX,PosY,Rot,Side
"D1","green","LED_0402_1005Metric",-63.133500,-52.667148,90.000000,bottom
"J6","I2C","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",-66.308500,-53.660148,270.000000,bottom
"R3","4.7kΩ","R_0402_1005Metric",-63.133500,-54.699148,270.000000,bottom
"C1","100nF","C_0402_1005Metric",64.172500,-55.819148,180.000000,top
"C2","4.7µF","C_0402_1005Metric",64.634500,-51.501148,0.000000,top
"R1","10kΩ","R_0402_1005Metric",67.070500,-51.501148,0.000000,top
"R2","10kΩ","R_0402_1005Metric",67.855500,-55.819148,0.000000,top
"U1","VL53L1","VL53L1",66.054500,-53.660148,0.000000,top
